policy,trial_id,relation_type,criterion,severity,noise,recovery_regret,cost_regret,harm_regret,total_regret,recovered,utility,oracle_utility
qrtc,test:601:FG+FW:strict_masking:0.25:0.00:0:qrtc,strict_masking,pi_1,0.25,0.0,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
random,test:601:FG+FW:strict_masking:0.25:0.00:0:random,strict_masking,pi_1,0.25,0.0,0.0,0.0,1.0,1.0999999999999999,False,-0.45,0.6499999999999999
cheapest_first,test:601:FG+FW:strict_masking:0.25:0.00:0:cheapest_first,strict_masking,pi_1,0.25,0.0,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
highest_stage_posterior,test:601:FG+FW:strict_masking:0.25:0.00:0:highest_stage_posterior,strict_masking,pi_1,0.25,0.0,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
greedy_gain,test:601:FG+FW:strict_masking:0.25:0.00:0:greedy_gain,strict_masking,pi_1,0.25,0.0,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
end_to_end,test:601:FG+FW:strict_masking:0.25:0.00:0:end_to_end,strict_masking,pi_1,0.25,0.0,0.0,0.0,1.0,0.9999999999999999,False,-0.35,0.6499999999999999
oracle,test:601:FG+FW:strict_masking:0.25:0.00:0:oracle,strict_masking,pi_1,0.25,0.0,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
qrtc,test:601:FG+FW:strict_masking:0.25:0.05:0:qrtc,strict_masking,pi_1,0.25,0.05,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
random,test:601:FG+FW:strict_masking:0.25:0.05:0:random,strict_masking,pi_1,0.25,0.05,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
cheapest_first,test:601:FG+FW:strict_masking:0.25:0.05:0:cheapest_first,strict_masking,pi_1,0.25,0.05,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
highest_stage_posterior,test:601:FG+FW:strict_masking:0.25:0.05:0:highest_stage_posterior,strict_masking,pi_1,0.25,0.05,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
greedy_gain,test:601:FG+FW:strict_masking:0.25:0.05:0:greedy_gain,strict_masking,pi_1,0.25,0.05,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
end_to_end,test:601:FG+FW:strict_masking:0.25:0.05:0:end_to_end,strict_masking,pi_1,0.25,0.05,0.0,0.0,1.0,0.9999999999999999,False,-0.35,0.6499999999999999
oracle,test:601:FG+FW:strict_masking:0.25:0.05:0:oracle,strict_masking,pi_1,0.25,0.05,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
qrtc,test:601:FG+FW:strict_masking:0.25:0.10:0:qrtc,strict_masking,pi_1,0.25,0.1,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
random,test:601:FG+FW:strict_masking:0.25:0.10:0:random,strict_masking,pi_1,0.25,0.1,0.0,0.0,1.0,1.0999999999999999,False,-0.45,0.6499999999999999
cheapest_first,test:601:FG+FW:strict_masking:0.25:0.10:0:cheapest_first,strict_masking,pi_1,0.25,0.1,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
highest_stage_posterior,test:601:FG+FW:strict_masking:0.25:0.10:0:highest_stage_posterior,strict_masking,pi_1,0.25,0.1,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
greedy_gain,test:601:FG+FW:strict_masking:0.25:0.10:0:greedy_gain,strict_masking,pi_1,0.25,0.1,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
end_to_end,test:601:FG+FW:strict_masking:0.25:0.10:0:end_to_end,strict_masking,pi_1,0.25,0.1,0.0,0.0,1.0,0.9999999999999999,False,-0.35,0.6499999999999999
oracle,test:601:FG+FW:strict_masking:0.25:0.10:0:oracle,strict_masking,pi_1,0.25,0.1,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
qrtc,test:601:FG+FW:strict_masking:0.25:0.20:0:qrtc,strict_masking,pi_1,0.25,0.2,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
random,test:601:FG+FW:strict_masking:0.25:0.20:0:random,strict_masking,pi_1,0.25,0.2,0.0,0.0,1.0,1.0499999999999998,False,-0.4,0.6499999999999999
cheapest_first,test:601:FG+FW:strict_masking:0.25:0.20:0:cheapest_first,strict_masking,pi_1,0.25,0.2,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
highest_stage_posterior,test:601:FG+FW:strict_masking:0.25:0.20:0:highest_stage_posterior,strict_masking,pi_1,0.25,0.2,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
greedy_gain,test:601:FG+FW:strict_masking:0.25:0.20:0:greedy_gain,strict_masking,pi_1,0.25,0.2,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
end_to_end,test:601:FG+FW:strict_masking:0.25:0.20:0:end_to_end,strict_masking,pi_1,0.25,0.2,0.0,0.0,1.0,0.9999999999999999,False,-0.35,0.6499999999999999
oracle,test:601:FG+FW:strict_masking:0.25:0.20:0:oracle,strict_masking,pi_1,0.25,0.2,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
qrtc,test:601:FG+FW:strict_masking:0.50:0.00:0:qrtc,strict_masking,pi_1,0.5,0.0,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
random,test:601:FG+FW:strict_masking:0.50:0.00:0:random,strict_masking,pi_1,0.5,0.0,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
cheapest_first,test:601:FG+FW:strict_masking:0.50:0.00:0:cheapest_first,strict_masking,pi_1,0.5,0.0,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
highest_stage_posterior,test:601:FG+FW:strict_masking:0.50:0.00:0:highest_stage_posterior,strict_masking,pi_1,0.5,0.0,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
greedy_gain,test:601:FG+FW:strict_masking:0.50:0.00:0:greedy_gain,strict_masking,pi_1,0.5,0.0,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
end_to_end,test:601:FG+FW:strict_masking:0.50:0.00:0:end_to_end,strict_masking,pi_1,0.5,0.0,0.0,0.0,1.0,0.9999999999999999,False,-0.35,0.6499999999999999
oracle,test:601:FG+FW:strict_masking:0.50:0.00:0:oracle,strict_masking,pi_1,0.5,0.0,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
qrtc,test:601:FG+FW:strict_masking:0.50:0.05:0:qrtc,strict_masking,pi_1,0.5,0.05,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
random,test:601:FG+FW:strict_masking:0.50:0.05:0:random,strict_masking,pi_1,0.5,0.05,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
cheapest_first,test:601:FG+FW:strict_masking:0.50:0.05:0:cheapest_first,strict_masking,pi_1,0.5,0.05,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
